route_id,source_id,locator,asset_kind,local_capture,size_bytes,pixel_dimensions,sha256,evidence_scope,relation_status,artifact_identity_status,join_geometry,rights_status,review_status
ihp-r038421-reverse,ihp-archaeological-archive,R038421CCWB,jpeg,r038421ccwb.jpg,430511,1856x1392,e4db16ff176b0e8c21cdc83981313b7f2c82aa3cdd0091ae5b2d0a1e56bb9562,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r039467-front,ihp-archaeological-archive,R039467CCWA,jpeg,r039467ccwa.jpg,453099,1856x1392,2683da77d27bba05e6e15e73a0c3ac789c4d9c8ea9556635c3698f7752b8f543,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r039467-reverse,ihp-archaeological-archive,R039467CCWB,jpeg,r039467ccwb.jpg,472099,1856x1392,cea74b5b40377adebf3298405facf4f5d20db5890e3cafc93d90bce61b820f67,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r053740-front,ihp-archaeological-archive,R053740CCWA,jpeg,r053740ccwa.jpg,1170293,2000x1500,6ba7694b36f6e630295883d0bf4a7057f65297e78c1290dca8491d735427cfe5,scale_bearing_object_image,official_nested_composite_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r053740-reverse,ihp-archaeological-archive,R053740CCWB,jpeg,r053740ccwb.jpg,1193825,2000x1500,64d07bcdb8319004d47267212dd5dc321dfeab81a22d99acb8123ca8aadf508f,scale_bearing_object_image,official_nested_composite_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r054970-front,ihp-archaeological-archive,R054970CCWA,jpeg,r054970ccwa.jpg,1224467,2000x1500,0625dcb1ae0c64620b99076cd974643571ff979505eaecbbc0581ec77dce591d,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r054970-reverse,ihp-archaeological-archive,R054970CCWB,jpeg,r054970ccwb.jpg,1239407,2000x1500,8196a5c6f4c5dcb64db68e2578d376663ed180e616963b7af2b7c6c87b1a3896,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r060751-front,ihp-archaeological-archive,R060751CCWA,jpeg,r060751ccwa.jpg,645103,2000x1328,bdf737056a981e7ad997dd815d7da269d9a08286f4b0ae67244f18441c134856,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r060751-reverse,ihp-archaeological-archive,R060751CCWB,jpeg,r060751ccwb.jpg,744640,2000x1328,9205e25cf7607da2c09d40279a8007761dd8a92f305c08fe317791a1fb5e4c8d,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r062431-front,ihp-archaeological-archive,R062431CCWA,jpeg,r062431ccwa.jpg,774837,2000x1328,f834bff553956ba1e9ccfc6c0bf1ba9af5a69e49e7972b3e9659270b9d4199ab,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r062431-reverse,ihp-archaeological-archive,R062431CCWB,jpeg,r062431ccwb.jpg,802562,2000x1328,09113aee0d002daea38eb4f0690f72123032d9797ddd9f6f5858b390b7af230e,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
