map_id,source_id,source_level,source_field_or_unit,source_meaning,target_record_type,target_project_field,import_action,rights_boundary,evidence_download_id,review_status,updated_at
field-map-000011,src-obimd,character_level,OrderNumber,Character order in sentence,oracle_character_occurrence,reading_order_index,Use to seed reading-order and grammar-position analysis,Order remains dataset annotation and should be reviewed against transcription,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000012,src-obimd,character_level,Label,Main character label,oracle_character,primary_external_ref_id; source_label,Map to project character IDs only after external source review,Dataset label is not a universal character ID,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000013,src-obimd,character_level,SubLabel,Secondary or sub-character label,oracle_character_variant,variant_external_ref_id; parent_character_ref,Use for variant/sub-character hierarchy after source review,Sub-character hierarchy is dataset-specific until cross-checked,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000014,src-obimd,character_level,SeatFont; Mark,Placeholder indicator and special marker fields,oracle_character_occurrence,missing_or_special_marker,Import as occurrence-level annotation flags,Marker semantics require dataset documentation and manual review,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000015,src-evobc,evolution_stage,OBC; BI; SS; SAC; WSC; CS,Six historical script stages used by EVOBC,graphic_evolution,script_stage_id; stage_sequence,Use to design evolution-chain records from oracle bone through later scripts,Raw images and source websites need separate review before import,dl-evobc-arxiv-abs,reviewed_metadata_only,2026-06-04
field-map-000016,src-evobc,dataset_statistic,"229170 images; 13714 categories",Reported EVOBC scale,source_record,source_scope_statistics,Record as dataset-level statistic and not as imported corpus count,Do not claim local corpus contains these images until package is imported,dl-evobc-arxiv-abs,reviewed_metadata_only,2026-06-04
field-map-000017,src-obid-ancientbooks,search_entry,卜辞浏览; 释文检索; 原文检索; 甲骨字典,Professional database search and browsing entry points,source_record,available_access_modes,Use to plan manual/API-like discovery workflow and source prefix mapping,Commercial platform content requires access and redistribution caution,dl-obid-ancientbooks-home,reviewed_metadata_only,2026-06-04
field-map-000018,src-obid-ancientbooks,catalog_prefix,合集 H; 中国国家博物馆 GB; 史语所 SG; other abbreviations,Dropdown catalog abbreviations for oracle-bone source lookup,external_source_prefix,external_ref_prefix; source_catalog_label,Register useful abbreviations when a concrete record is imported,Do not bulk copy catalog records without access and rights review,dl-obid-ancientbooks-home,reviewed_metadata_only,2026-06-04
field-map-000019,src-cambridge-hopkins,finding_list_key,y; c; h; j,Hopkins list cross-reference keys for Yingguo; CUL; Chalfant; Heji,oracle_inscription,external_ref_ids; catalog_crosswalk,Use to build inscription-level crosswalk records and Heji links,Finding list metadata only; images and 3D assets need separate rights review,dl-cambridge-hopkins-finding-list,reviewed_metadata_only,2026-06-04
field-map-000020,src-cambridge-hopkins,classified_table,period and topic totals,Collection-level period/topic distribution table,statistics,topic_distribution_summary; period_distribution_summary,Use as collection-level summary and not as character-level evidence,Table values need explicit source citation if extracted later,dl-cambridge-hopkins-finding-list,reviewed_metadata_only,2026-06-04
field-map-000021,src-tsinghua-oracle-bones,collection_statistic,"over 1750 oracle bones; 1495 inscribed pieces",Official collection scale statement,source_record,source_scope_statistics,Record as collection-level provenance statistic,Overview page only; not a full searchable corpus endpoint,dl-tsinghua-oracle-bones-overview,reviewed_metadata_only,2026-06-04
field-map-000022,src-tsinghua-oracle-bones,collection_provenance,Hu Houxuan; Yu Shengwu; Chen Mengjia,Named provenance chain in the library overview,excavation_or_collection_context,collection_provenance_note,Use as institutional collection provenance note,Requires object-level records for item-specific claims,dl-tsinghua-oracle-bones-overview,reviewed_metadata_only,2026-06-04
field-map-000023,src-gbedobc,dataset_statistic,"756 groups; 3780 graph-based characters",Reported graph-based evolution dataset scale,graphic_evolution,source_scope_statistics,Use to plan graph/evolution import after package review,Not a primary paleographic source by itself,dl-gbedobc-repo-page,reviewed_metadata_only,2026-06-04
field-map-000024,src-xiaoxuetang-jiaguwen,simple_search_field,字號,Oracle character number search field,oracle_character,primary_external_ref_id; external_ref_id,Use as the first external character-head reference when importing Xiaoxuetang records,Character number is source-local and must not replace project ID,dl-xxt-jgw-home,reviewed_metadata_only,2026-06-04
field-map-000025,src-xiaoxuetang-jiaguwen,simple_search_field,字形,Glyph-form search field,oracle_glyph_form,source_glyph_query; glyph_form_reference,Use for glyph-form lookup and later variant grouping,Raw glyph images require separate rights review before asset import,dl-xxt-jgw-home,reviewed_metadata_only,2026-06-04
field-map-000026,src-xiaoxuetang-jiaguwen,simple_search_field,頁碼,Jiaguwen Bian page search field,oracle_character,source_page_ref; dictionary_page_ref,Use for dictionary-page cross-reference during character import,Page reference is not a universal character ID,dl-xxt-jgw-home,reviewed_metadata_only,2026-06-04
field-map-000027,src-xiaoxuetang-jiaguwen,simple_search_field,合集號,Heji number search field from character database,oracle_character_occurrence,heji_ref_id; source_catalog_ref,Use to connect character heads to Heji plate/provenance review,Heji plate numbers are inscription/object references and need OBM cross-check,dl-xxt-jgw-home,reviewed_metadata_only,2026-06-04
field-map-000028,src-xiaoxuetang-jiaguwen,simple_search_field,舊著錄,Older catalog reference search field,source_reference,old_catalog_ref,Use to preserve older catalog links from character records,Old catalog abbreviations need source-prefix review before formal import,dl-xxt-jgw-home,reviewed_metadata_only,2026-06-04
field-map-000029,src-xiaoxuetang-jiaguwen,simple_search_field,類組,Classification group search field,oracle_character,source_class_group,Use as source-local class grouping for candidate review,Class group is not a project taxonomy until reviewed,dl-xxt-jgw-home,reviewed_metadata_only,2026-06-04
field-map-000030,src-xiaoxuetang-obm,simple_search_field,合集號,Heji plate/material-source number,oracle_inscription,heji_ref_id; source_catalog_ref,Use as primary OBM inscription/provenance lookup field,Heji number identifies a plate/material source and not a single character,dl-xxt-obm-example,reviewed_metadata_only,2026-06-04
field-map-000031,src-xiaoxuetang-obm,simple_search_field,舊著錄,Original old-catalog reference,source_reference,old_catalog_ref; zhetuo_ref,Use to preserve original publication/rubbing reference chains,Abbreviations must be expanded through OBM appendices before public display,dl-xxt-obm-example,reviewed_metadata_only,2026-06-04
field-map-000032,src-xiaoxuetang-obm,simple_search_field,原骨拓藏,Original object/rubbing holding abbreviation,excavation_or_collection_context,collection_holding_abbrev; holding_source_ref,Use to connect Heji records to collection or rubbing-holding provenance,Holding abbreviations require appendices and institution-level cross-checking,dl-xxt-obm-example,reviewed_metadata_only,2026-06-04
field-map-000033,src-xiaoxuetang-obm,simple_search_field,備注,OBM note field,oracle_inscription,note; correction_or_supplement_note,Use to preserve corrections and supplemental notes during Heji import,Notes may record errors or supplements and must not be dropped,dl-xxt-obm-example,reviewed_metadata_only,2026-06-04
field-map-000034,src-ihp-oracle-rubbings,cross_reference_key,collection number,Link key between IHP rubbings and archaeological artifacts/images,asset_metadata; excavation_or_collection_context,collection_number; cross_reference_key,Use to join rubbing records with artifact and image provenance,Raw image reuse follows IHP site policy and membership/access rules,dl-ihp-rubbings-overview,reviewed_metadata_only,2026-06-04
field-map-000035,src-xiaoxuetang-obm,appendix_field,甲骨著錄書簡稱,OBM old catalog book abbreviation appendix,source_reference,old_catalog_abbrev; old_catalog_title,Use to expand and normalize OBM 舊著錄 references before source crosswalk import,Browser-reviewed metadata only; scripted download is access-restricted and row-level claims need OBM citation,dl-xxt-obm-appendix01,reviewed_metadata_only,2026-06-04
field-map-000036,src-xiaoxuetang-obm,appendix_field,拓本和現藏簡稱,OBM rubbing and holding abbreviation appendix,excavation_or_collection_context,holding_abbrev; holding_label,Use to expand and normalize OBM 原骨拓藏 references before collection provenance import,Browser-reviewed metadata only; institution labels still need object-level verification,dl-xxt-obm-appendix02,reviewed_metadata_only,2026-06-04
field-map-000037,src-hust-obc,derived_crosswalk,Validation_label.json plus ID_to_Chinese.json,HUST validation class to OCR label candidate crosswalk,oracle_character,source_category_id; source_modern_label_candidate,Use as a searchable dataset-label bridge for 1588 HUST candidate classes before cross-source review,OCR label candidates are dataset metadata and must not become accepted readings by themselves,dl-hust-obc-ocr-id-to-chinese,reviewed_metadata_only,2026-06-04
field-map-000038,src-hust-obc,derived_source_category,expanded Validation_label.json source_category_id,HUST source-category label staging,oracle_character,source_category_id; source_modern_label_candidate; linked_candidate_class_id,Use to preserve the 0001-1781 HUST source-category range before formal obs-char assignment,Source categories are dataset references and must not be treated as formal project character IDs,dl-hust-obc-ocr-id-to-chinese,reviewed_metadata_only,2026-06-04
field-map-000039,src-nlc-oracle-world,database_design_field,馆藏号,National Library of China holding number such as 北图 19780,oracle_inscription; excavation_or_collection_context,nlc_holding_number; collection_item_ref,Use as NLC-local object or inscription reference when item records become accessible,NLC holding number is a local collection identifier and must not replace project IDs,dl-nlc-oracle-database-design,reviewed_metadata_only,2026-06-05
field-map-000040,src-nlc-oracle-world,database_design_field,来源号,Original collector/source number or older collection reference,source_reference,source_collection_ref; old_catalog_ref,Use to preserve NLC source-chain and older collection references,NLC source references need row-level citation before object-level claims,dl-nlc-oracle-database-design,reviewed_metadata_only,2026-06-05
field-map-000041,src-nlc-oracle-world,database_design_field,贞人;时期;出土地点;原骨属性;卜辞内容类别,NLC database design fields for dating context and topical classification,oracle_inscription,diviner; period; excavation_place; bone_material_type; topic_category,Use as target field contract for future NLC inscription-context import,Field design evidence is not a downloaded item-level record set,dl-nlc-oracle-database-design,reviewed_metadata_only,2026-06-05
field-map-000042,src-nlc-oracle-world,database_design_field,著录情况,NLC bibliographic/catalog references including Heji and Yinqi Cuibian,source_reference,publication_refs; heji_ref_id; yinqi_cuibian_ref_id,Use to cross-check NLC records against published catalog references before promotion,Catalog references must be checked against original rows before use as evidence,dl-nlc-oracle-database-design,reviewed_metadata_only,2026-06-05
