profile_id,source_id,evidence_download_id,official_url,profile_area,official_field_or_statement,normalized_project_value,project_use,access_or_rights_boundary,review_status,updated_at
source-access-000018,src-nlc-oracle-world,dl-nlc-oracle-world-note,https://www.nlc.cn/migrated/www.nlc.cn/newhxjy/wjsy/wjls/wjqcsy/wjd69q/zytx/202007/P020200710368724856153.pdf,official_database_scope,甲骨世界以国家图书馆藏甲骨为基础; 甲骨实物2964条; 影像5932幅; 甲骨拓片2975条; 影像3177幅,nlc_oracle_world_objects=2964;object_images=5932;rubbings=2975;rubbing_images=3177,Use as official NLC Oracle World database-scope evidence before endpoint-specific import,Scope note is not a bulk record export; image reuse and current access endpoint need review,reviewed_metadata_only,2026-06-05
source-access-000019,src-nlc-oracle-world,dl-nlc-oracle-database-design,https://www.nlc.cn/migrated/www.nlc.cn/newhxjy/wjsy/wjls/szhyj/gjszh/201012/P020101227555561563898.pdf,official_collection_scale,国家图书馆珍藏甲骨35651片; 约占出土总数的1/4,nlc_oracle_bone_holding_count=35651;reported_share_about_one_quarter,Use as collection-scale evidence and institutional provenance context,Collection statement is database-design evidence and not an item-level inventory,reviewed_metadata_only,2026-06-05
source-access-000020,src-nlc-oracle-world,dl-nlc-oracle-database-design,https://www.nlc.cn/migrated/www.nlc.cn/newhxjy/wjsy/wjls/szhyj/gjszh/201012/P020101227555561563898.pdf,designed_record_fields,馆藏号;来源号;贞人;时期;出土地点;原骨属性;原骨尺寸;卜辞内容类别;拓片来源;拓片尺寸;缀合情况;著录情况;其它,nlc_field_contract=holding_number;source_number;diviner;period;excavation_place;bone_material_type;bone_size;topic_category;rubbing_source;rubbing_size;joins;catalog_refs;other,Use as target schema contract for future NLC item-level import planning,Field design does not imply local project has imported NLC item records,reviewed_metadata_only,2026-06-05
source-access-000021,src-nlc-oracle-world,dl-nlc-oracle-database-design,https://www.nlc.cn/migrated/www.nlc.cn/newhxjy/wjsy/wjls/szhyj/gjszh/201012/P020101227555561563898.pdf,catalog_reference_coverage,馆藏甲骨在《甲骨文合集》上著录8000余号;《殷契粹编》上著录1595号,nlc_heji_refs_over_8000;nlc_yinqi_cuibian_refs=1595,Use as a collection-level cross-reference target for Heji and Yinqi Cuibian linkage,Requires row-level records before formal inscription crosswalk import,reviewed_metadata_only,2026-06-05
source-access-000022,src-smithsonian-nmaa-oracle-bone,dl-smithsonian-nmaa-fsc-o-26-archive,https://asia-archive.si.edu/object/FSC-O-26,public_domain_object_scope,FSC-O-26; CC0 - Creative Commons (CC0 1.0); FS-FSC-O-26_1,smithsonian_nmaa_accession=FSC-O-26;rights=CC0;iiif_source_image_id=FS-FSC-O-26_1,Use as a public-domain object and IIIF metadata workflow sample before broader museum-object import,Archive page is object-level evidence; current si.edu page may require browser verification,reviewed_metadata_only,2026-06-05
source-access-000023,src-smithsonian-nmaa-oracle-bone,dl-smithsonian-nmaa-fsc-o-26-archive,https://asia-archive.si.edu/object/FSC-O-26,object_provenance_contract,John Hadley Cox purchased in Xiaotun Anyang Honan province China; gift to Freer Gallery of Art in 1991,smithsonian_nmaa_provenance_john_hadley_cox_xiaotun_anyang;freer_gift_1991,Use as object-level provenance evidence for public-domain staging,Object provenance does not prove excavated context without cross-checking other sources,reviewed_metadata_only,2026-06-05
source-access-000024,src-penn-museum-oracle-bone,dl-penn-museum-49-14-7a,https://www.penn.museum/collections/object/76960,object_record_scope,Object Number 49-14-7A; Current Location Asia Galleries - On Display; Culture Chinese; Provenience Anyang; Period Shang Dynasty,penn_museum_object_number=49-14-7A;provenience=Anyang;period=Shang_Dynasty;current_location=Asia_Galleries_On_Display,Use as official university museum object metadata for collection and provenance staging,Display location and page metadata may change; raw image reuse requires rights review,reviewed_metadata_only,2026-06-05
source-access-000025,src-penn-museum-oracle-bone,dl-penn-museum-49-14-7a,https://www.penn.museum/collections/object/76960,object_materials_dimensions_credit,Materials Bone and Shell; Height 2.3 cm; Width 2.5 cm; Credit Line Bequest of Julia Morgan through brother Hugh Morgan 1949,penn_museum_materials=Bone;Shell;height_cm=2.3;width_cm=2.5;credit_line_julia_morgan_hugh_morgan_1949,Use as asset/object metadata for future image and object provenance workflow,Dimensions and credit line are object metadata and not paleographic evidence by themselves,reviewed_metadata_only,2026-06-05
source-access-000026,src-sinica-da-xiaoxuetang-site,dl-sinica-da-xiaoxuetang-site,https://sinica.digitalarchives.tw/site_6071.html,portal_database_scope,小學堂文字學資料庫是形音義綜合文字學資料庫; 字形涵蓋甲骨文金文戰國文字小篆楷書; 字形超過十八萬字; 聲韻超過一百萬筆; 字書索引超過二十五萬筆,xiaoxuetang_portal_scope=glyphs_over_180000;phonology_over_1000000;dictionary_indexes_over_250000;covers_oracle_bone_bronze_warring_states_seal_regular,Use as official portal-level rationale for Xiaoxuetang source selection and cross-script comparison planning,Portal profile is not row-level evidence and must not be counted as imported character records,reviewed_metadata_only,2026-06-05
source-access-000027,src-sinica-da-xiaoxuetang-site,dl-sinica-da-xiaoxuetang-site,https://sinica.digitalarchives.tw/site_6071.html,portal_rights_and_use_scope,著作權臺灣大學中國文學系中央研究院歷史語言研究所中央研究院資訊科學研究所; 用途學術研究教育學習創意加值,xiaoxuetang_portal_rights_holders=ntu_chinese_ihp_iis;uses=academic_research_education_creative_value,Use as rights-context evidence before downloading or redistributing derived Xiaoxuetang materials,Rights statement requires item-level review before raw glyph image redistribution,reviewed_metadata_only,2026-06-05
source-access-000028,src-sinica-yinshang-oracle-vocabulary,dl-sinica-yinshang-oracle-vocabulary,https://sinica.digitalarchives.tw/collection_3334351.html,collection_corpus_scope,包括甲骨文合集小屯南地甲骨英國所藏甲骨集東京大學東洋文化研究所所藏甲骨文字懷特氏等所藏甲骨文集; 總計五萬二千四百八十六片; 字數大約一百餘萬字左右,yinshang_oracle_vocab_pieces=52486;characters_about_1000000;major_corpora=heji_xiaotun_nandi_yingguo_tokyo_whitney,Use as official institutional corpus-scope evidence for inscription vocabulary and context planning,Collection scope is not a downloadable full corpus in this repository,reviewed_metadata_only,2026-06-05
source-access-000029,src-sinica-yinshang-oracle-vocabulary,dl-sinica-yinshang-oracle-vocabulary,https://sinica.digitalarchives.tw/collection_3334351.html,collection_topic_scope,內容涉及天文曆法氣象地理方國世系家族人物職官征伐刑獄農業畜牧田獵交通宗教祭祀疾病生育災禍,yinshang_oracle_vocab_topics=astronomy_calendar_weather_geography_polities_genealogy_family_people_offices_warfare_law_agriculture_husbandry_hunting_transport_religion_ritual_disease_birth_disaster,Use as source-backed seed for future topic taxonomy and grammar/context records,Topic scope is broad profile metadata and must not be treated as per-inscription labels,reviewed_metadata_only,2026-06-05
