source_route_task_id,context_pack_id,source_id,priority_rank,priority_tags,route,route_zh,coverage_status,rights_status,authority_tier,review_focus,route_files,required_next_checks,research_boundary,assignment_status,review_status,caution,updated_at
source-route-review-011,ai-context-source-coverage-001,src-sinica-da-xiaoxuetang-site,5,metadata_profile;download_log,open_metadata_profile_and_source_register,先打开 metadata profile 和来源登记,has_downloaded_metadata_profile,metadata_only_until_verified,institutional_portal,open_metadata_profile_and_source_register_before_extraction,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-012,ai-context-source-coverage-001,src-sinica-yinshang-oracle-vocabulary,5,metadata_profile;download_log,open_metadata_profile_and_source_register,先打开 metadata profile 和来源登记,has_downloaded_metadata_profile,metadata_only_until_verified,institutional_database,open_metadata_profile_and_source_register_before_extraction,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-013,ai-context-source-coverage-001,src-cambridge-hopkins,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,metadata_only_until_verified,university_library_collection,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-014,ai-context-source-coverage-001,src-gbedobc,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,source_marked_risk_noted,peer_reviewed_dataset,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-015,ai-context-source-coverage-001,src-ihp-museum-oracle-bones,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,metadata_only_until_verified,core_institutional,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-016,ai-context-source-coverage-001,src-ihp-oracle-rubbings,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,metadata_only_until_verified,core_institutional,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-017,ai-context-source-coverage-001,src-obid-ancientbooks,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,source_marked_risk_noted,scholarly_commercial_platform,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-018,ai-context-source-coverage-001,src-open-oracle,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,source_marked_risk_noted,scholarly_project,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-019,ai-context-source-coverage-001,src-oracle-mnist,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,source_marked_risk_noted,peer_reviewed_dataset,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-020,ai-context-source-coverage-001,src-tsinghua-oracle-bones,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,metadata_only_until_verified,university_library_collection,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-021,ai-context-source-coverage-001,src-yinqi-wenyuan,6,download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,source_marked_risk_noted,scholarly_platform,open_download_manifest_log_and_package_manifest_before_promotion,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
