source_row_id,candidate_inscription_crosswalk_id,yingguo_ref_id,period_label,original_group_number,source_section_key,source_section_label_en,source_section_label_zh,declared_count,observed_section_row_count,count_reconciliation_status,source_note
14,cam-hopkins-crosswalk-000014,y78,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
15,cam-hopkins-crosswalk-000015,y79,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
16,cam-hopkins-crosswalk-000016,y81,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
17,cam-hopkins-crosswalk-000017,y82,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
18,cam-hopkins-crosswalk-000018,y86,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
19,cam-hopkins-crosswalk-000019,y87,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
20,cam-hopkins-crosswalk-000020,y107,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,no reverse in H
21,cam-hopkins-crosswalk-000021,y125,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
22,cam-hopkins-crosswalk-000022,y129,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
23,cam-hopkins-crosswalk-000023,y133,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
24,cam-hopkins-crosswalk-000024,y134,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
25,cam-hopkins-crosswalk-000025,y151,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,no CUL No. assigned
26,cam-hopkins-crosswalk-000026,y158,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
27,cam-hopkins-crosswalk-000027,y163,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,joins with J2770+ J8991 (see Ta lu tsa chih Vol.74/5)
28,cam-hopkins-crosswalk-000028,y164,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
29,cam-hopkins-crosswalk-000029,y181,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
30,cam-hopkins-crosswalk-000030,y183,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
31,cam-hopkins-crosswalk-000031,y184,I,2,period-i-group-2,Period I Group 2,第 I 期第 2 组,4,4,declared_count_matches_observed_rows,
32,cam-hopkins-crosswalk-000032,y188,I,2,period-i-group-2,Period I Group 2,第 I 期第 2 组,4,4,declared_count_matches_observed_rows,
33,cam-hopkins-crosswalk-000033,y192,I,2,period-i-group-2,Period I Group 2,第 I 期第 2 组,4,4,declared_count_matches_observed_rows,
34,cam-hopkins-crosswalk-000034,y198,I,2,period-i-group-2,Period I Group 2,第 I 期第 2 组,4,4,declared_count_matches_observed_rows,
35,cam-hopkins-crosswalk-000035,y200,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
36,cam-hopkins-crosswalk-000036,y201,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
37,cam-hopkins-crosswalk-000037,y202,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
38,cam-hopkins-crosswalk-000038,y205,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
39,cam-hopkins-crosswalk-000039,y207,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,no reverse in H
40,cam-hopkins-crosswalk-000040,y211,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
41,cam-hopkins-crosswalk-000041,y216,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
42,cam-hopkins-crosswalk-000042,y245,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
43,cam-hopkins-crosswalk-000043,y256,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
44,cam-hopkins-crosswalk-000044,y259,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
45,cam-hopkins-crosswalk-000045,y276,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
46,cam-hopkins-crosswalk-000046,y284,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
47,cam-hopkins-crosswalk-000047,y285,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
48,cam-hopkins-crosswalk-000048,y304,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
49,cam-hopkins-crosswalk-000049,y312,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
50,cam-hopkins-crosswalk-000050,y327,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
51,cam-hopkins-crosswalk-000051,y334,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
52,cam-hopkins-crosswalk-000052,y339,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
53,cam-hopkins-crosswalk-000053,y351,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
54,cam-hopkins-crosswalk-000054,y353,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
55,cam-hopkins-crosswalk-000055,y358,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
56,cam-hopkins-crosswalk-000056,y362,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
57,cam-hopkins-crosswalk-000057,y374,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
58,cam-hopkins-crosswalk-000058,y389,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
59,cam-hopkins-crosswalk-000059,y392,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,no reverse in H or J
60,cam-hopkins-crosswalk-000060,y403,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
61,cam-hopkins-crosswalk-000061,y408,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
62,cam-hopkins-crosswalk-000062,y409,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
63,cam-hopkins-crosswalk-000063,y410,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
64,cam-hopkins-crosswalk-000064,y414,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,no reverse or glenoid cavity in H or J; 1 char. missing
65,cam-hopkins-crosswalk-000065,y428,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
66,cam-hopkins-crosswalk-000066,y429,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
67,cam-hopkins-crosswalk-000067,y430,I,3,period-i-group-3,Period I Group 3,第 I 期第 3 组,33,33,declared_count_matches_observed_rows,
68,cam-hopkins-crosswalk-000068,y454,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
69,cam-hopkins-crosswalk-000069,y458,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,no reverse in Couling/Chalfant [sic]
70,cam-hopkins-crosswalk-000070,y462,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
71,cam-hopkins-crosswalk-000071,y469,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
72,cam-hopkins-crosswalk-000072,y470,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
73,cam-hopkins-crosswalk-000073,y472,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
74,cam-hopkins-crosswalk-000074,y474,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
75,cam-hopkins-crosswalk-000075,y475,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
76,cam-hopkins-crosswalk-000076,y477,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
77,cam-hopkins-crosswalk-000077,y479,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
78,cam-hopkins-crosswalk-000078,y505,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
79,cam-hopkins-crosswalk-000079,y508,I,4,period-i-group-4,Period I Group 4,第 I 期第 4 组,12,12,declared_count_matches_observed_rows,
80,cam-hopkins-crosswalk-000080,y521,I,5,period-i-group-5,Period I Group 5,第 I 期第 5 组,5,5,declared_count_matches_observed_rows,
81,cam-hopkins-crosswalk-000081,y523,I,5,period-i-group-5,Period I Group 5,第 I 期第 5 组,5,5,declared_count_matches_observed_rows,
82,cam-hopkins-crosswalk-000082,y527,I,5,period-i-group-5,Period I Group 5,第 I 期第 5 组,5,5,declared_count_matches_observed_rows,
83,cam-hopkins-crosswalk-000083,y528,I,5,period-i-group-5,Period I Group 5,第 I 期第 5 组,5,5,declared_count_matches_observed_rows,
84,cam-hopkins-crosswalk-000084,y533,I,5,period-i-group-5,Period I Group 5,第 I 期第 5 组,5,5,declared_count_matches_observed_rows,
85,cam-hopkins-crosswalk-000085,y543,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
86,cam-hopkins-crosswalk-000086,y547,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
87,cam-hopkins-crosswalk-000087,y551,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
88,cam-hopkins-crosswalk-000088,y552,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
89,cam-hopkins-crosswalk-000089,y553,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
90,cam-hopkins-crosswalk-000090,y554,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
91,cam-hopkins-crosswalk-000091,y555,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
92,cam-hopkins-crosswalk-000092,y556,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
93,cam-hopkins-crosswalk-000093,y559,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
94,cam-hopkins-crosswalk-000094,y560,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
95,cam-hopkins-crosswalk-000095,y564,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
96,cam-hopkins-crosswalk-000096,y566,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
97,cam-hopkins-crosswalk-000097,y569,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
98,cam-hopkins-crosswalk-000098,y571,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
99,cam-hopkins-crosswalk-000099,y578,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
100,cam-hopkins-crosswalk-000100,y579,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
101,cam-hopkins-crosswalk-000101,y580,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
102,cam-hopkins-crosswalk-000102,y582,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
103,cam-hopkins-crosswalk-000103,y584,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
104,cam-hopkins-crosswalk-000104,y593,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,incorrectly positioned in Ying-ts'ang; for glenoid see | c599 h477 j39968 bu593; see also drawings p.366
105,cam-hopkins-crosswalk-000105,y594,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
106,cam-hopkins-crosswalk-000106,y601,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
107,cam-hopkins-crosswalk-000107,y602,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
108,cam-hopkins-crosswalk-000108,y608,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
109,cam-hopkins-crosswalk-000109,y609,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
110,cam-hopkins-crosswalk-000110,y610,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
111,cam-hopkins-crosswalk-000111,y613,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
112,cam-hopkins-crosswalk-000112,y614,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
113,cam-hopkins-crosswalk-000113,y616,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
114,cam-hopkins-crosswalk-000114,y618,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
115,cam-hopkins-crosswalk-000115,y626,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
116,cam-hopkins-crosswalk-000116,y635,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
117,cam-hopkins-crosswalk-000117,y636,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
118,cam-hopkins-crosswalk-000118,y640,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
119,cam-hopkins-crosswalk-000119,y641,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
120,cam-hopkins-crosswalk-000120,y653,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
121,cam-hopkins-crosswalk-000121,y654,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
122,cam-hopkins-crosswalk-000122,y657,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
123,cam-hopkins-crosswalk-000123,y659,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
124,cam-hopkins-crosswalk-000124,y662,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
125,cam-hopkins-crosswalk-000125,y665,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
126,cam-hopkins-crosswalk-000126,y667,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
127,cam-hopkins-crosswalk-000127,y671,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
128,cam-hopkins-crosswalk-000128,y672,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
129,cam-hopkins-crosswalk-000129,y680,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
130,cam-hopkins-crosswalk-000130,y681,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
131,cam-hopkins-crosswalk-000131,y686,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
132,cam-hopkins-crosswalk-000132,y711,I,6,period-i-group-6,Period I Group 6,第 I 期第 6 组,48,48,declared_count_matches_observed_rows,
133,cam-hopkins-crosswalk-000133,y724,I,7,period-i-group-7,Period I Group 7,第 I 期第 7 组,5,5,declared_count_matches_observed_rows,
134,cam-hopkins-crosswalk-000134,y729,I,7,period-i-group-7,Period I Group 7,第 I 期第 7 组,5,5,declared_count_matches_observed_rows,no reverse in H or J
135,cam-hopkins-crosswalk-000135,y731,I,7,period-i-group-7,Period I Group 7,第 I 期第 7 组,5,5,declared_count_matches_observed_rows,
136,cam-hopkins-crosswalk-000136,y732,I,7,period-i-group-7,Period I Group 7,第 I 期第 7 组,5,5,declared_count_matches_observed_rows,
137,cam-hopkins-crosswalk-000137,y749,I,7,period-i-group-7,Period I Group 7,第 I 期第 7 组,5,5,declared_count_matches_observed_rows,
138,cam-hopkins-crosswalk-000138,y757,I,8,period-i-group-8,Period I Group 8,第 I 期第 8 组,1,1,declared_count_matches_observed_rows,
139,cam-hopkins-crosswalk-000139,y792,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
140,cam-hopkins-crosswalk-000140,y793,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
141,cam-hopkins-crosswalk-000141,y794,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
142,cam-hopkins-crosswalk-000142,y799,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
143,cam-hopkins-crosswalk-000143,y800,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
144,cam-hopkins-crosswalk-000144,y803,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
145,cam-hopkins-crosswalk-000145,y810,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
146,cam-hopkins-crosswalk-000146,y814,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
147,cam-hopkins-crosswalk-000147,y818,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,erroneously numbered 819 in Ying ts'ang
148,cam-hopkins-crosswalk-000148,y821,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
149,cam-hopkins-crosswalk-000149,y824,I,9,period-i-group-9,Period I Group 9,第 I 期第 9 组,11,11,declared_count_matches_observed_rows,
150,cam-hopkins-crosswalk-000150,y834,I,10,period-i-group-10,Period I Group 10,第 I 期第 10 组,6,6,declared_count_matches_observed_rows,
151,cam-hopkins-crosswalk-000151,y835,I,10,period-i-group-10,Period I Group 10,第 I 期第 10 组,6,6,declared_count_matches_observed_rows,
152,cam-hopkins-crosswalk-000152,y840,I,10,period-i-group-10,Period I Group 10,第 I 期第 10 组,6,6,declared_count_matches_observed_rows,Couling-Chalfant 404 [sic]
153,cam-hopkins-crosswalk-000153,y842,I,10,period-i-group-10,Period I Group 10,第 I 期第 10 组,6,6,declared_count_matches_observed_rows,
154,cam-hopkins-crosswalk-000154,y848,I,10,period-i-group-10,Period I Group 10,第 I 期第 10 组,6,6,declared_count_matches_observed_rows,
155,cam-hopkins-crosswalk-000155,y856,I,10,period-i-group-10,Period I Group 10,第 I 期第 10 组,6,6,declared_count_matches_observed_rows,
156,cam-hopkins-crosswalk-000156,y885,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
157,cam-hopkins-crosswalk-000157,y906,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
158,cam-hopkins-crosswalk-000158,y939,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
159,cam-hopkins-crosswalk-000159,y943,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
160,cam-hopkins-crosswalk-000160,y945,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
161,cam-hopkins-crosswalk-000161,y954,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
162,cam-hopkins-crosswalk-000162,y956,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
163,cam-hopkins-crosswalk-000163,y967,I,12,period-i-group-12,Period I Group 12,第 I 期第 12 组,8,8,declared_count_matches_observed_rows,
164,cam-hopkins-crosswalk-000164,y996,I,13,period-i-group-13,Period I Group 13,第 I 期第 13 组,4,4,declared_count_matches_observed_rows,
165,cam-hopkins-crosswalk-000165,y997,I,13,period-i-group-13,Period I Group 13,第 I 期第 13 组,4,4,declared_count_matches_observed_rows,
166,cam-hopkins-crosswalk-000166,y1002,I,13,period-i-group-13,Period I Group 13,第 I 期第 13 组,4,4,declared_count_matches_observed_rows,
167,cam-hopkins-crosswalk-000167,y1004,I,13,period-i-group-13,Period I Group 13,第 I 期第 13 组,4,4,declared_count_matches_observed_rows,
168,cam-hopkins-crosswalk-000168,y1007,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
169,cam-hopkins-crosswalk-000169,y1011,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
170,cam-hopkins-crosswalk-000170,y1013,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
171,cam-hopkins-crosswalk-000171,y1014,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
172,cam-hopkins-crosswalk-000172,y1015,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
173,cam-hopkins-crosswalk-000173,y1017,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,matches J12456 (ibid.)
174,cam-hopkins-crosswalk-000174,y1022,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
175,cam-hopkins-crosswalk-000175,y1039,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,no reverse in H
176,cam-hopkins-crosswalk-000176,y1042,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
177,cam-hopkins-crosswalk-000177,y1045,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
178,cam-hopkins-crosswalk-000178,y1078,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
179,cam-hopkins-crosswalk-000179,y1080,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
180,cam-hopkins-crosswalk-000180,y1097,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
181,cam-hopkins-crosswalk-000181,y1105,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
182,cam-hopkins-crosswalk-000182,y1106,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
183,cam-hopkins-crosswalk-000183,y1116,I,14,period-i-group-14,Period I Group 14,第 I 期第 14 组,16,16,declared_count_matches_observed_rows,
184,cam-hopkins-crosswalk-000184,y1125,I,15,period-i-group-15,Period I Group 15,第 I 期第 15 组,1,1,declared_count_matches_observed_rows,
185,cam-hopkins-crosswalk-000185,y1133,I,16,period-i-group-16,Period I Group 16,第 I 期第 16 组,18,18,declared_count_matches_observed_rows,
186,cam-hopkins-crosswalk-000186,y1134,I,16,period-i-group-16,Period I Group 16,第 I 期第 16 组,18,18,declared_count_matches_observed_rows,
187,cam-hopkins-crosswalk-000187,y1149,I,16,period-i-group-16,Period I Group 16,第 I 期第 16 组,18,18,declared_count_matches_observed_rows,
188,cam-hopkins-crosswalk-000188,y1151,I,16,period-i-group-16,Period I Group 16,第 I 期第 16 组,18,18,declared_count_matches_observed_rows,
